DIVISION_NUM,Division Name,SVP,AVP,Location Name,Online Code,State,Location Description,Year,Adjusted COGS,Sales,Regular GM,Total GM
1,BCU,Karen Keller,Art Karsky,"ABC - THIEF RIVER FALLS, #383 [Closed:06/16/2018]",THIEMNYD,MN,Thief Riverfalls MN Yard,1/1/17,201249.8,257743.18,56493.38,56493.38
1,BCU,Karen Keller,Art Karsky,"ABC - LITTLE FALLS, #350 [Closed:05/12/2018]",LITTMNYD,MN,Little Falls MN Yard,1/1/17,144277.13,197424.6,53147.47,53147.47
1,BCU,Karen Keller,Art Karsky,"ABC - ST CLOUD, #377 [Closed:05/12/2018]",STCLMNYD,MN,St Cloud MN Yard,1/1/17,676144.29,896477.21,220332.92,220332.92
1,BCU,Karen Keller,Art Karsky,"ABC - FERGUS FALLS, #334 [Closed:06/16/2018]",FERGMNYD,MN,Fergus Falls MN Yard,1/1/17,278048.91,358519.11,80470.2,80470.2
1,BCU,Karen Keller,Art Karsky,"ABC - DETROIT LAKES, #325 [Closed:05/12/2018]",DELAMNYD,MN,Detroit Lakes MN Yard,1/1/17,315984.61,397312.61,81328,81328
1,BCU,Karen Keller,Art Karsky,"ABC - HAWLEY, #337 [Closed:05/12/2018]",HAWLMNYD,MN,Hawley MN Yard,1/1/17,164152.19,198017.6,33865.41,33370.81
1,BCU,Karen Keller,Dave Mills,"ABC - OAK GROVE, #398 [Closed:03/24/2018]",ZIMMMNYD,MN,Oak Grove MN Yard,1/1/17,5477.74,7378.94,1901.2,1901.2
1,BCU,Karen Keller,Dave Mills,"ABC - NEW RICHMOND, #755",NRICWIYD,WI,New Richmond WI Yard,1/1/17,364112.77,446038.62,81925.85,81925.85
1,BCU,Karen Keller,Dave Mills,"ABC - MANKATO, #361 [Closed:03/24/2018]",MANKMNYD,MN,Mankato MN Yard,1/1/17,477997.12,578445.84,100448.72,100448.72
1,BCU,Karen Keller,Dave Mills,"ABC - EAU CLAIRE, #718",EAUCWIYD,WI,Eau Claire WI Yard,1/1/17,444365.46,547537.33,103171.87,103171.87
1,BCU,Karen Keller,Dave Mills,"ABC - LAKEVILLE, #346 [Closed:03/24/2018]",LKVLMNYD,MN,Lakeville MN Yard,1/1/17,620.8,800,179.2,179.2
1,BCU,Karen Keller,Dave Mills,"ABC - MENOMONIE, #753",MENOWIYD,WI,Menomonie WI Yard,1/1/17,504380.64,626400.4,122019.76,122019.76
1,BCU,Karen Keller,Dave Mills,"ABC - TWIN CITIES MLWK, #349 [Closed:03/24/2018]",LKVLMNMW,MN,Twin Cities MN Millwork,1/1/17,3003358.15,3770812.04,767453.89,767453.44
1,BCU,Karen Keller,Dave Mills,"ABC - WASECA, #388 [Closed:03/24/2018]",WASEMNYD,MN,Waseca MN Yard,1/1/17,234192.95,300901.12,66708.17,66708.17
1,BCU,Karen Keller,Doug Ossefoort,"ABC - MITCHELL, SD, #648 [Closed:08/11/2018]",MTCHSDYD,SD,Mitchell SD Yard,1/1/17,303480.79,397493.24,94012.45,94012.45
1,BCU,Karen Keller,Doug Ossefoort,"ABC - ABERDEEN, #603 [Closed:08/04/2018]",ABERSDYD,SD,Aberdeen SD Yard,1/1/17,266677.97,340032.35,73354.38,73354.38
1,BCU,Karen Keller,Doug Ossefoort,"ABC - RAPID CITY, SD, #660 [Closed:08/04/2018]",RAPCSDYD,SD,Rapid City SD Yard,1/1/17,1072413.38,1362244.81,289831.43,289831.43
1,BCU,Karen Keller,Doug Ossefoort,"ABC - SPEARFISH, SD, #670 [Closed:08/04/2018]",SPEASDYD,SD,Spearfish SD Yard,1/1/17,467237.3,597052.59,129815.29,129815.29
1,BCU,Karen Keller,Doug Ossefoort,"ABC - MADISON, SD, #645 [Closed:08/04/2018]",MADISDYD,SD,Madison SD Yard,1/1/17,261811.98,315597.29,53785.31,53785.31
1,BCU,Karen Keller,Doug Ossefoort,"ABC - HURON, SD, #630 [Closed:08/11/2018]",HUROSDYD,SD,Huron SD Yard,1/1/17,323524.03,422765.56,99241.53,99241.53
1,BCU,Karen Keller,Doug Ossefoort,"ABC - PIERRE, SD, #655 [Closed:08/11/2018]",PIERSDYD,SD,Pierre SD Yard,1/1/17,320127.37,406518.22,86390.85,86390.85
1,BCU,Karen Keller,Doug Ossefoort,"ABC - SIOUX FALLS, #667 [Closed:08/04/2018]",SIOUSDYD,SD,Sioux Falls SD Yard,1/1/17,530677.66,647001.88,116324.22,116324.22
1,BCU,Karen Keller,Doug Ossefoort,"ABC - HOT SPRINGS, #628 [Closed:08/04/2018]",HOTSSDYD,SD,Hot Springs SD Yard,1/1/17,209955.69,269109.79,59154.1,59154.1
1,BCU,Karen Keller,Doug Ossefoort,"ABC - BROOKINGS, #608 [Closed:08/04/2018]",BROOSDYD,SD,Brookings SD Yard,1/1/17,175587.47,230579.63,54992.16,54994.39
1,BCU,Karen Keller,Jeremy Poulsen,"ABC - HEBER CITY, #964",HEBRUTYD,UT,Heber City UT Yard,1/1/17,15400.55,19046.89,3646.34,3646.34
1,BCU,Karen Keller,Jeremy Poulsen,"ABC - MIDVALE MLWK, #963",SLAKUTMW,UT,Salt Lake City UT Millwork,1/1/17,2484852.13,3007047.12,522194.99,522194.99
1,BCU,Karen Keller,Jeremy Poulsen,"ABC - MIDVALE, #960",MIDVUTYD,UT,Midvale UT Yard,1/1/17,1950.12,2502.71,552.59,552.59
1,BCU,Karen Keller,Jeremy Poulsen,"ABC - SPANIS FORK, #972",SPFKUTYD,,Spanish Fork UT Yard,1/1/17,454.2,483.19,28.99,28.99
1,BCU,Karen Keller,John Grueneich,"ABC - GLENDIVE, #433",GLENMTYD,MT,Glendive MT Yard,1/1/17,75115.02,99736.28,24621.26,24621.26
1,BCU,Karen Keller,John Grueneich,"ABC - DICKINSON, ND, #522 [Closed:06/23/2018]",DICKNDYD,ND,Dickinson ND Yard,1/1/17,268325.12,340308.43,71983.31,71983.31
1,BCU,Karen Keller,John Grueneich,"ABC - JAMESTOWN, ND, #540 [Closed:06/23/2018]",JAMENDYD,ND,Jamestown ND Yard,1/1/17,199609.57,254829.92,55220.35,55220.35
1,BCU,Karen Keller,John Grueneich,"ABC - DEVILS LAKE, #520 [Closed:06/23/2018]",DELANDYD,ND,Devils Lake ND Yard,1/1/17,83757.97,100612.36,16854.39,16854.39
1,BCU,Karen Keller,John Grueneich,"ABC - WILLISTON, #592 [Closed:06/23/2018]",WILLNDYD,ND,Williston ND Yard,1/1/17,57485.29,77458.37,19973.08,19973.08
1,BCU,Karen Keller,John Grueneich,"ABC - WHEATON, MN, #393 [Closed:06/23/2018]",WHEAMNYD,MN,Wheaton MN Yard,1/1/17,45851.42,69711.03,23859.61,23859.61
1,BCU,Karen Keller,John Grueneich,"ABC - MILES CITY, #461",MILEMTYD,MT,Miles City MT Yard,1/1/17,240831.54,318212.07,77380.53,77380.53
1,BCU,Karen Keller,John Grueneich,"ABC - MANDAN, ND, #557 [Closed:06/23/2018]",MANDNDYD,ND,Mandan ND Yard,1/1/17,696983.73,881372.2,184388.47,184388.47
1,BCU,Karen Keller,John Grueneich,"ABC - SIDNEY, MT, #485",SIDNMTYD,MT,Sidney MT Yard,1/1/17,151091.54,190649.67,39558.13,39558.13
1,BCU,Karen Keller,John Grueneich,"ABC - WAHPETON, #590 [Closed:06/16/2018]",WAHPNDYD,ND,Wahpeton ND Yard,1/1/17,321710.29,407663.6,85953.31,85953.31
1,BCU,Karen Keller,Pete Hartmann,"ABC - FORT ATKINSON, #725 [Closed:08/11/2018]",FTATWIYD,WI,Fort Atkinson WI Yard,1/1/17,572956.09,730050.93,157094.84,157094.84
1,BCU,Karen Keller,Pete Hartmann,"ABC - PLATTEVILLE, #759",PLATWIYD,WI,Platteville WI Yard,1/1/17,643581.19,788266.62,144685.43,144685.43
1,BCU,Karen Keller,Pete Hartmann,"ABC - GREENWOOD, #730",GRWDWIYD,WI,Greenwood WI Yard,1/1/17,106369.4,142559.1,36189.7,36191.74
1,BCU,Karen Keller,Pete Hartmann,"ABC - WAUSAU, #795",WAUSWIYD,WI,Wausau WI Yard,1/1/17,667415.68,852825.17,185409.49,185531.97
1,BCU,Karen Keller,Pete Hartmann,"ABC - LOMIRA, #740 [Closed:08/11/2018]",LOMIWIYD,WI,Lomira WI Yard,1/1/17,467990.31,575525.91,107535.6,107535.6
1,BCU,Karen Keller,Pete Hartmann,"ABC - MONROE, #754 [Closed:08/11/2018]",MONRWIYD,WI,Monroe WI Yard,1/1/17,384734.79,479943.2,95208.41,95208.41
1,BCU,Karen Keller,Pete Hartmann,"ABC - DEPERE TRUSS, #722",DEPRWIMF,WI,De Pere WI Truss,1/1/17,382.4,603.4,221,221
1,BCU,Karen Keller,Pete Hartmann,"ABC - DEPERE, WI, #720",DEPRWIMW,WI,De Pere WI Yard,1/1/17,631593.58,806531.07,174937.49,174947.29
1,BCU,Karen Keller,Pete Hartmann,"ABC - FOX VALLEY, #728",GRVLWIYD,WI,Greenville WI Yard,1/1/17,415590.21,554892.58,139302.37,139302.37
1,BCU,Karen Keller,Pete Hartmann,"ABC - MIDDLETON, #750",MIDDWIYD,WI,Middleton WI Yard,1/1/17,1844335.32,2202264.59,357929.27,357932.13
1,BCU,Karen Keller,Pete Hartmann,"ABC - MINOCQUA, #758",MINOWIYD,WI,Minocqua WI Yard,1/1/17,203595.2,252141.34,48546.14,48546.14
1,BCU,Karen Keller,Rich Buffington,"ABC - ASPEN, #801 [Closed:01/27/2018]",ASPNCOYD,CO,Aspen CO Yard,1/1/17,277580.51,352617.33,75036.82,75036.82
1,BCU,Karen Keller,Rich Buffington,"ABC - GLENWOOD SPRINGS, #834 [Closed:01/27/2018]",GLENCOYD,CO,Glenwood Springs CO Yard,1/1/17,649539.12,831425.84,181886.72,181886.72
1,BCU,Karen Keller,Rich Buffington,"ABC - CORTEZ, #815 [Closed:01/27/2018]",CORTCOYD,CO,Cortez CO Yard,1/1/17,180974.13,234859.31,53885.18,53885.18
1,BCU,Karen Keller,Rich Buffington,"ABC - FARMINGTON, #930 [Closed:02/03/2018]",FARMNMYD,NM,Farmington NM Yard,1/1/17,140102.42,185520.89,45418.47,45418.47
1,BCU,Karen Keller,Rich Buffington,"ABC - GRAND JUNCTION, #836 [Closed:01/27/2018]",GRJUCOYD,CO,Grand Junction CO Yard,1/1/17,1158214.1,1506184.94,347970.84,347970.84
1,BCU,Karen Keller,Rich Buffington,"ABC - MONTROSE, #855 [Closed:01/27/2018]",MONTCOYD,CO,Montrose CO Yard,1/1/17,237132.49,328880.67,91748.18,91748.18
1,BCU,Karen Keller,Rich Buffington,"ABC - STEAMBOAT SPRING, #862 [Closed:01/27/2018]",STSPCOYD,CO,Steamboat Springs CO Yard,1/1/17,478995.07,590738.25,111743.18,111743.18
1,BCU,Karen Keller,Rich Buffington,"ABC - DURANGO, #827 [Closed:02/03/2018]",DURACOYD,CO,Durango CO Yard,1/1/17,306245.52,369347.46,63101.94,63101.94
1,BCU,Karen Keller,Ryan Petersen,"ABC - DUBUQUE, #222 [Closed:02/03/2018]",DUBUIAYD,IA,Dubuque IA Yard,1/1/17,265037.04,310448.68,45411.64,45411.64
1,BCU,Karen Keller,Ryan Petersen,"ABC - STORM LAKE, #274 [Closed:03/17/2018]",STORIAYD,IA,Storm Lake IA Yard,1/1/17,183605.43,226975.25,43369.82,43369.82
1,BCU,Karen Keller,Ryan Petersen,"ABC - BOONE, #213 [Closed:03/17/2018]",BOONIAYD,IA,Boone IA Yard,1/1/17,402728.79,495242.35,92513.56,92513.56
1,BCU,Karen Keller,Ryan Petersen,"ABC - WALKER, #289 [Closed:05/05/2018]",WALKIAYD,IA,Walker IA Yard,1/1/17,403185.16,518878.12,115692.96,115692.96
1,BCU,Karen Keller,Ryan Petersen,"ABC - WAUKON, #291 [Closed:05/05/2018]",WAUKIAYD,IA,Waukon IA Yard,1/1/17,231793.56,292283.3,60489.74,60489.74
1,BCU,Karen Keller,Ryan Petersen,"ABC - ALGONA, #206 [Closed:03/17/2018]",ALGOIAYD,IA,Algona IA Yard,1/1/17,142209.93,175723.24,33513.31,33513.31
1,BCU,Karen Keller,Ryan Petersen,"ABC - WATERLOO, #290 [Closed:05/05/2018]",WATRIAYD,IA,Waterloo IA Yard,1/1/17,310580.16,386052.19,75472.03,75472.03
1,BCU,Karen Keller,Ryan Petersen,"ABC - IOWA FALLS, #239 [Closed:03/17/2018]",IAFAIAYD,IA,Iowa Falls IA Yard,1/1/17,138891.35,177607.35,38716,38716
1,BCU,Karen Keller,Ryan Petersen,"ABC - ELKADER, #227 [Closed:03/17/2018]",ELKAIAYD,IA,Elkader IA Yard,1/1/17,317559.75,379815.89,62256.14,62256.14
1,BCU,Karen Keller,Ryan Petersen,"ABC - DAVENPORT, #219 [Closed:02/03/2018]",DAVEIAYD,IA,Davenport IA Yard,1/1/17,726921.42,857264.8,130343.38,130343.38
1,BCU,Karen Keller,Ryan Petersen,"ABC - MASON CITY, #246 [Closed:05/05/2018]",MASNIAYD,IA,Mason City IA Yard,1/1/17,459380.27,545942.21,86561.94,86561.94
1,BCU,Karen Keller,Ryan Petersen,"ABC - SIOUX CITY, #267 [Closed:03/17/2018]",SIOUIAYD,IA,Sioux City IA Yard,1/1/17,160230.01,200827.38,40597.37,40597.37
1,BCU,Helen Hailey,Paul Ballard,"LEXINGTON, #893 [Closed:08/26/2017]",LEXIKYYD,KY,Lexington KY Yard,1/1/17,216171.57,268621.38,52449.81,52449.81
1,BCU,Helen Hailey,Paul Ballard,"SHELBYVILLE, #897 [Closed:06/02/2017]",SHELKYYD,KY,Shelbyville KY Yard,1/1/17,349040.52,461814.04,112773.52,112773.52
1,BCU,Justin Robb,Dennis Edwards,"HUNTERTOWN, #886 [Closed:08/26/2017]",HUNTINYD,IN,Huntertown IN Yard,1/1/17,1673504.54,2086005.94,412501.4,412501.4
1,BCU,Justin Robb,Dennis Edwards,"TERRE HAUTE, #870 [Closed:08/26/2017]",TERRINYD,IN,Terre Haute IN Yard,1/1/17,202082.96,239394.52,37311.56,37311.56
1,BCU,Justin Robb,Dennis Edwards,"BREESE, #800 [Closed:08/26/2017]",BREEILYD,IL,Breese IL Yard,1/1/17,491654.65,644575.78,152921.13,152921.13
1,BCU,Justin Robb,Dennis Edwards,"TOLONO, #810 [Closed:08/26/2017]",TOLOILYD,IL,Tolono IL Yard,1/1/17,116458.77,143103.15,26644.38,26644.38
1,BCU,Justin Robb,Larry Smith,"PETOSKEY, #512 [Closed:10/14/2017]",PETOMIYD,MI,Petoskey MI Yard,1/1/17,645492.84,858314.1,212821.26,212866.41
1,BCU,Justin Robb,Larry Smith,"CADILLAC, #505 [Closed:10/14/2017]",CADIMIYD,MI,Cadillac MI Yard,1/1/17,400866.62,523078.69,122212.07,122241.18
1,BCU,Justin Robb,Larry Smith,"ST. HELEN, #518 [Closed:10/14/2017]",STHEMIYD,MI,St Helen MI Yard,1/1/17,242498.07,306462.68,63964.61,63964.61
1,BCU,Justin Robb,Larry Smith,"GAYLORD, #509 [Closed:10/14/2017]",GAYLMIYD,MI,Gaylord MI Yard,1/1/17,420226.39,537839.68,117613.29,117613.29
1,BCU,Justin Robb,Larry Smith,"ALPENA, #502 [Closed:10/14/2017]",ALPEMIYD,MI,Alpena MI Yard,1/1/17,239089.68,305610.79,66521.11,66526.46
1,BCU,Justin Robb,Larry Smith,"FREMONT, #564 [Closed:12/02/2017]",FREMMIYD,MI,Fremont MI Yard,1/1/17,333511.96,439043.41,105531.45,105531.45
1,BCU,Justin Robb,Larry Smith,"RUDYARD, #513 [Closed:10/14/2017]",RUDYMIYD,MI,Rudyard MI Yard,1/1/17,291108.61,370410.81,79302.2,79302.2
1,BCU,Justin Robb,Larry Smith,"ALMA, #501 [Closed:12/02/2017]",ALMAMIYD,MI,Alma MI Yard,1/1/17,102893.19,133992.28,31099.09,31107.6
1,BCU,Justin Robb,Larry Smith,"BAD AXE, #504 [Closed:12/02/2017]",BDAXMIYD,MI,Bad Axe MI Yard,1/1/17,291943.24,386275.41,94332.17,94332.17
1,BCU,Justin Robb,Larry Smith,"CARO, #506 [Closed:12/02/2017]",CAROMIYD,MI,Caro MI Yard,1/1/17,260420.95,356305.82,95884.87,95894.4
1,BCU,Justin Robb,Larry Smith,"SAGINAW (WEST), #515 [Closed:12/02/2017]",SAGIMIYD,MI,Saginaw MI Yard,1/1/17,1028126.36,1278236.89,250110.53,250134.99
1,BCU,Justin Robb,Larry Smith,"TRAVERSE CITY, #588 [Closed:10/25/2017]",TRAVMIYD,MI,Traverse City MI Yard,1/1/17,576099.63,773513.68,197414.05,197414.05
1,BCU,Justin Robb,Larry Smith,"KALAMAZOO, #578 [Closed:12/02/2017]",KALAMIYD,MI,Kalamazoo MI Yard,1/1/17,430689.27,540297.28,109608.01,109608.01
1,BCU,Justin Robb,Todd Moore,"INDIANAPOLIS, #877",INDYINYD,IN,Indianapolis IN Yard,1/1/17,5594026.3,7413575.45,1819549.15,1820023.67
1,BCU,Justin Robb,Todd Moore,"MOORESVILLE TR, #879",MOORINMF,IN,Mooresville IN Truss,1/1/17,259.28,0,-259.28,259.28
2,BSS,Debra Kesner,Joel Lynch,"PALMER, #530",PALMAKYD,AK,Palmer AK Yard,1/1/17,138521.48,187310.1,48788.62,48818.48
2,BSS,Debra Kesner,Joel Lynch,"WASILLA MILLWORK SHOP, #43",WASIAKMW,AK,Wasilla AK Millwork,1/1/17,1018235.32,1413947.23,395711.91,398015.57
2,BSS,Debra Kesner,Joel Lynch,"BSS - SOLDOTNA, #110",SOLDAKYD,AK,Soldotna AK Yard,1/1/17,249741.4,350799.3,101057.9,101057.9
2,BSS,Debra Kesner,Joel Lynch,"MATSU GALCO, #68",WAMGAKYD,AK,Wasilla AK Yard (Mat-Su Galco),1/1/17,0,0,0,0
2,BSS,Debra Kesner,Joel Lynch,"KENAI, #100",KENAAKYD,AK,Kenai AK Yard,1/1/17,341916.15,474792.19,132876.04,132567.44
2,BSS,Debra Kesner,Joel Lynch,"FAIRBANKS, #30",FAIRAKYD,AK,Fairbanks AK Yard,1/1/17,1050739.08,1447919.55,397180.47,397198.4
2,BSS,Debra Kesner,Joel Lynch,"SITKA, #70",SITKAKYD,AK,Sitka AK Yard,1/1/17,217290.53,276030.5,58739.97,58739.97
2,BSS,Debra Kesner,Joel Lynch,"WASILLA, #40",WASIAKYD,AK,Wasilla AK Yard,1/1/17,153659.36,215036.9,61377.54,61377.54
2,BSS,Debra Kesner,Joel Lynch,"SEWARD, #130",SEWAAKYD,AK,Seward AK Yard,1/1/17,87799.12,113049.26,25250.14,25250.14
2,BSS,Debra Kesner,Joel Lynch,"KODIAK, #90",KODIAKYD,AK,Kodiak AK Yard,1/1/17,248398.15,368256.11,119857.96,119857.96
2,BSS,Debra Kesner,Joel Lynch,"HMER, #120",HOMRAKYD,AK,HMEr AK Yard,1/1/17,402199.05,573042.62,170843.57,170843.57
2,BSS,Debra Kesner,Randy Bridwell,"MILLWORK PRODUCTION, #23",ANCHAKMW,AK,Anchorage AK Millwork,1/1/17,1960479.98,2672929.24,712449.26,745300.1
2,BSS,Debra Kesner,Randy Bridwell,"LAKE OTIS, #170",LKOTAKYD,AK,Lake Otis AK Yard,1/1/17,173514.78,220184.71,46669.93,46669.93
2,BSS,Debra Kesner,Randy Bridwell,"GALCO BUILDING PRODUCTS, #60",ANCHALDC,AK,Anchorage AK DC (Galco),1/1/17,0,0,0,0
2,BSS,Debra Kesner,Randy Bridwell,"BSS - LOIS DRIVE, #20",ANCHAKYD,AK,Anchorage AK Yard (Lois Drive),1/1/17,480840.67,595276.74,114436.07,114428.13
2,BSS,Debra Kesner,Randy Bridwell,"EAGLE RIVER, #140",EAGLAKYD,AK,Eagle River AK Yard,1/1/17,145715.82,181470.6,35754.78,35763.95
3,Lumbermens,Debra Kesner,Bob Crowson,"ABC POST FALLS 028, #28",POSTIDYD,ID,Post Falls ID Yard,1/1/17,11513.83,13435.61,1921.78,1921.78
3,Lumbermens,Debra Kesner,Bob Crowson,"ABC SPOKANE 019, #19",SPOKWAYD,WA,Spokane WA Yard,1/1/17,1536206.73,1939856.04,403649.31,403649.31
3,Lumbermens,Debra Kesner,John Davis,"ABC MCCALL 703, #703",MCCAIDYD,ID,McCall ID Yard,1/1/17,294860.02,403126.31,108266.29,108266.29
3,Lumbermens,Debra Kesner,John Davis,"ABC WENATCHEE 802, #802",WENAWAYD,WA,Wenatchee WA Yard,1/1/17,287558.78,376594.35,89035.57,89035.57
3,Lumbermens,Debra Kesner,John Davis,"ABC HERMISTON 709, #709",HERMORYD,OR,Hermiston OR Yard,1/1/17,132836.36,183555.41,50719.05,50719.05
3,Lumbermens,Debra Kesner,John Davis,"ABC YAKIMA 023, #23",YAKIWAYD,WA,Yakima WA Yard,1/1/17,393702.1,504463.57,110761.47,110761.47
3,Lumbermens,Debra Kesner,John Davis,"ABC KENNEWICK 714, #714",KENNWAYD,WA,Kennewick WA Yard,1/1/17,1250975.64,1593038.88,342063.24,342063.24
3,Lumbermens,Debra Kesner,John Davis,"ABC TWIN FALLS 723, #723",TWINIDYD,,Twin Falls ID Yard,1/1/17,9520.92,12589.74,3068.82,3068.82
3,Lumbermens,Debra Kesner,John Davis,"ABC MERIDIAN 701, #701",MERIIDYD,ID,Boise ID Yard,1/1/17,2466.23,3291.44,825.21,825.21
3,Lumbermens,Debra Kesner,John Davis,"BOISE MILLWORK, #719",MERIIDMW,ID,Boise ID Millwork,1/1/17,2319081.44,2963580.08,644498.64,644498.64
3,Lumbermens,Debra Kesner,John Davis,"ABC OTHELLO 710, #710",OTHEWAYD,WA,Othello WA Yard,1/1/17,250018.22,313186.18,63167.96,63167.96
3,Lumbermens,Debra Kesner,John Davis,"ABC WALLA WALLA 706, #706",WALLWAYD,WA,Walla Walla WA Yard,1/1/17,59337.88,71009.94,11672.06,11672.06
3,Lumbermens,Debra Kesner,John Davis,"ABC WALLA WALLA MFG, #707",WALLWAMF,WA,Walla Walla WA Truss,1/1/17,276040.04,319033.78,42993.74,42993.74
3,Lumbermens,Debra Kesner,John Hoch,"ABC TANGENT 602, #602",TANGORYD,OR,Tangent OR Yard,1/1/17,362703.17,451905.85,89202.68,89202.68
3,Lumbermens,Debra Kesner,John Hoch,"ABC COOS BAY 601, #601",COOSORYD,OR,Coos Bay OR Yard,1/1/17,429360.3,590841.24,161480.94,161480.94
3,Lumbermens,Debra Kesner,John Hoch,"ABC NEWPORT 609, #609",NEWPORYD,OR,Newport OR Yard,1/1/17,134629.99,174509.49,39879.5,39879.5
3,Lumbermens,Debra Kesner,John Hoch,"ABC CLACKAMAS MILLWK, #610",CLACORMW,OR,Clackamas OR Millwork,1/1/17,3333361.09,4299659.34,966298.25,966298.25
3,Lumbermens,Debra Kesner,John Hoch,"ABC VANCOUVER 009, #9",VANCWAYD,WA,Vancouver WA Yard,1/1/17,18999.28,26638.15,7638.87,7638.87
3,Lumbermens,Debra Kesner,John Hoch,"ABC SEASIDE 803, #803",SEASORYD,OR,Seaside OR Yard,1/1/17,1431166.26,1825676.73,394510.47,394510.47
3,Lumbermens,Debra Kesner,John Hoch,"ABC BEND BRANCH 807, #807",BENDORYD,OR,Bend OR Yard,1/1/17,1657445.98,2129317.98,471872,471872
3,Lumbermens,Debra Kesner,John Hoch,"ABC LAKEVIEW 708, #708",LKVWORYD,OR,Lakeview OR Yard,1/1/17,84632.47,108697.25,24064.78,24064.78
3,Lumbermens,Debra Kesner,John Hoch,"ABC MCMINNVILLE 603, #603",MCMNORYD,OR,McMinnville OR Yard,1/1/17,863983.57,1112100.1,248116.53,248116.53
3,Lumbermens,Debra Kesner,John Hoch,"ABC FOREST GROVE 604, #604",FOGRORYD,OR,Forest Grove OR Yard,1/1/17,129288.2,174945.41,45657.21,45657.21
3,Lumbermens,Debra Kesner,John Hoch,"ABC LINCOLN CITY 607, #607",LINCORYD,OR,Lincoln City OR Yard,1/1/17,319841.57,391808.28,71966.71,71966.71
3,Lumbermens,Debra Kesner,John Hoch,"ABC CLACKAMAS 606, #606",CLACORYD,OR,Clackamas OR Yard,1/1/17,8255.57,11640.43,3384.86,3384.86
3,Lumbermens,Debra Kesner,Scott Munson,"ABC GRAHAM 504, #504",GRAHWAYD,WA,Graham WA Yard,1/1/17,845183.35,1086514.04,241330.69,241330.69
3,Lumbermens,Debra Kesner,Scott Munson,"ABC ARLINGTON DC, #667",ARLIWAYD,WA,Arlington WA Yard,1/1/17,2189869.17,2638340.68,448471.51,448471.51
3,Lumbermens,Debra Kesner,Scott Munson,"ABC OLYMPIA 010, #10",OLYMWAYD,WA,Olympia WA Yard,1/1/17,308003.55,381905.92,73902.37,73902.37
